Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,1,1,1,1,1
2,1,1,1,1,0
3,1,1,1,0,0
4,1,0,1,0,0
5,1,0,1,1,1
6,0,0,0,0,0
7,1,1,0,1,1
8,0,1,0,0,1
9,0,1,0,0,0
10,1,0,1,0,0
11,0,1,0,1,1
12,0,1,1,0,0
13,1,0,1,1,1
14,1,0,0,0,0
15,1,1,1,0,1
16,0,0,1,0,0
17,1,1,1,1,1
18,0,1,1,0,1
19,0,0,0,0,0
20,0,1,1,0,0
21,1,1,1,1,1
22,1,0,0,0,1
23,1,1,1,1,1
24,1,1,1,0,1
25,1,1,1,0,1
26,1,1,0,1,0
27,1,1,1,1,1
28,1,0,0,0,1
29,0,1,0,0,0
30,1,0,1,1,1
31,0,0,0,0,0
32,1,1,1,1,0
33,1,0,0,0,0
34,1,0,0,0,1
35,1,0,1,0,0
36,1,0,1,0,0
37,1,0,0,0,0
38,0,0,0,0,0
39,0,0,1,0,0
40,1,0,1,0,0
41,0,0,0,0,1
42,0,1,0,0,0
43,1,0,1,1,0
44,1,0,1,0,0
45,0,0,0,0,0
46,1,1,1,0,1
47,0,0,0,1,1
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,1,0,0,1,0
52,1,1,1,1,1
53,0,0,0,0,0
54,1,0,0,0,0
55,1,0,0,0,0
56,1,1,1,1,1
57,1,0,1,0,0
58,1,0,1,0,0
59,0,0,0,0,0
60,1,1,1,0,1
61,1,0,0,0,0
62,1,1,1,0,0
63,1,1,1,0,0
64,1,0,0,0,0
65,0,0,0,0,0
66,1,1,0,1,1
67,1,1,1,1,1
68,0,0,0,1,0
69,0,1,1,0,1
70,1,0,0,0,0
71,0,0,0,0,0
72,1,0,0,0,0
73,1,1,0,0,0
74,1,0,0,0,0
75,1,1,1,0,1
76,0,1,1,0,0
77,1,0,0,1,0
78,1,1,0,1,1
79,0,0,0,0,0
80,1,1,1,1,0
81,1,1,1,1,1
82,0,0,0,0,0
83,1,0,0,0,0
84,1,1,0,1,1
85,0,0,0,0,0
86,0,0,0,0,0
87,1,1,1,1,1
88,1,0,1,0,0
89,1,0,0,0,1
90,0,0,0,0,1
91,0,0,1,0,0
92,0,1,1,0,1
93,0,0,0,0,0
94,1,0,0,1,1
95,1,1,0,0,0
96,1,0,1,0,0
97,1,0,0,0,0
98,0,1,0,0,1
99,1,1,1,0,1
100,1,1,1,1,1
101,1,1,1,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,1,1,0,1,1
107,0,1,1,1,1
108,1,1,1,1,0
109,0,0,0,0,0
110,0,1,1,1,1
111,0,0,0,0,0
112,0,0,1,1,0
113,1,1,1,1,1
114,1,1,1,0,1
115,1,1,0,0,0
116,0,0,0,0,0
117,1,1,1,0,1
118,1,0,0,0,0
119,0,0,1,0,0
120,0,1,1,0,0
121,1,0,1,0,0
122,1,1,1,0,0
123,1,0,0,0,1
124,0,1,1,1,0
125,0,0,1,0,0
126,0,0,0,1,0
127,1,0,0,0,0
128,0,0,0,0,0
129,1,1,1,0,1
130,0,1,0,0,0
131,0,1,1,0,1
132,1,1,1,1,1
133,0,1,0,0,0
134,1,1,1,1,1
135,1,1,1,1,1
136,0,0,0,0,0
137,1,0,0,0,0
138,1,0,1,0,0
139,1,0,1,0,0
140,1,0,0,0,0
141,0,1,1,0,1
142,0,1,0,1,0
143,1,1,1,0,1
144,0,0,0,0,0
145,0,0,1,0,1
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,1,0,0,0,0
150,1,1,0,0,0
151,0,0,0,0,0
152,1,0,0,1,0
153,1,0,1,1,1
154,1,0,0,0,0
155,0,0,0,0,0
156,1,1,1,1,1
157,1,1,0,0,1
158,0,0,0,0,0
159,1,0,1,1,0
160,0,0,1,0,0
161,1,1,1,1,1
162,1,1,1,1,1
163,1,1,1,1,0
164,0,0,0,0,0
165,0,0,0,0,0
166,0,0,0,0,0
167,0,0,0,0,0
168,1,0,1,0,0
169,1,1,1,0,1
170,1,1,1,1,1
171,0,0,1,0,1
172,1,1,1,1,1
173,0,1,0,0,0
174,0,0,0,0,0
175,0,0,0,0,0
176,1,0,1,0,0
177,0,0,1,0,0
178,1,0,0,0,0
179,1,0,0,0,0
180,0,1,1,0,1
181,0,1,1,1,1
182,1,0,0,0,0
183,1,0,0,1,0
184,0,1,1,1,1
185,0,0,0,0,0
186,0,0,0,0,0
187,1,0,1,0,0
188,1,0,0,0,0
189,1,0,1,0,0
190,1,1,1,1,1
191,0,0,0,0,0
192,1,1,0,1,1
193,0,0,0,0,0
194,1,1,1,0,0
195,0,0,0,0,0
196,1,1,1,1,1
197,0,1,0,0,0
198,1,1,1,0,0
199,0,0,1,0,0
200,0,0,0,0,0
